cve_mun,anio,municipio.x,feminicidios,municipio.y,tasa_fem_100k,pib_pc,log_pib_pc
21042,2020,21042,0,21042,NA,NA,NA
21042,2021,21042,0,21042,NA,NA,NA
21042,2022,21042,0,21042,NA,NA,NA
21042,2023,21042,0,21042,NA,NA,NA
21042,2024,21042,0,21042,NA,NA,NA
21042,2025,21042,0,21042,NA,NA,NA
21043,2015,21043,0,21043,NA,NA,NA
21043,2016,21043,0,21043,NA,NA,NA
21043,2017,21043,0,21043,NA,NA,NA
21043,2018,21043,0,21043,NA,NA,NA
21043,2019,21043,0,21043,NA,NA,NA
21043,2020,21043,0,21043,NA,NA,NA
21043,2021,21043,0,21043,NA,NA,NA
21043,2022,21043,0,21043,NA,NA,NA
21043,2023,21043,1,21043,NA,NA,NA
21043,2024,21043,2,21043,NA,NA,NA
21043,2025,21043,0,21043,NA,NA,NA
21044,2015,21044,0,21044,NA,NA,NA
21044,2016,21044,0,21044,NA,NA,NA
21044,2017,21044,0,21044,NA,NA,NA
21044,2018,21044,0,21044,NA,NA,NA
21044,2019,21044,1,21044,NA,NA,NA
21044,2020,21044,0,21044,NA,NA,NA
21044,2021,21044,0,21044,NA,NA,NA
21044,2022,21044,0,21044,NA,NA,NA
21044,2023,21044,0,21044,NA,NA,NA
21044,2024,21044,0,21044,NA,NA,NA
21044,2025,21044,0,21044,NA,NA,NA
21045,2015,21045,0,21045,NA,NA,NA
21045,2016,21045,0,21045,NA,NA,NA
21045,2017,21045,0,21045,NA,NA,NA
21045,2018,21045,0,21045,NA,NA,NA
21045,2019,21045,1,21045,NA,NA,NA
21045,2020,21045,0,21045,NA,NA,NA
21045,2021,21045,0,21045,NA,NA,NA
21045,2022,21045,0,21045,NA,NA,NA
21045,2023,21045,0,21045,NA,NA,NA
21045,2024,21045,0,21045,NA,NA,NA
21045,2025,21045,0,21045,NA,NA,NA
21046,2015,21046,0,21046,NA,NA,NA
21046,2016,21046,0,21046,NA,NA,NA
21046,2017,21046,0,21046,NA,NA,NA
21046,2018,21046,0,21046,NA,NA,NA
21046,2019,21046,0,21046,NA,NA,NA
21046,2020,21046,0,21046,NA,NA,NA
21046,2021,21046,0,21046,NA,NA,NA
21046,2022,21046,0,21046,NA,NA,NA
21046,2023,21046,0,21046,NA,NA,NA
21046,2024,21046,0,21046,NA,NA,NA
21046,2025,21046,0,21046,NA,NA,NA
21047,2015,21047,0,21047,NA,NA,NA
21047,2016,21047,0,21047,NA,NA,NA
21047,2017,21047,0,21047,NA,NA,NA
21047,2018,21047,0,21047,NA,NA,NA
21047,2019,21047,0,21047,NA,NA,NA
21047,2020,21047,0,21047,NA,NA,NA
21047,2021,21047,0,21047,NA,NA,NA
21047,2022,21047,1,21047,NA,NA,NA
21047,2023,21047,1,21047,NA,NA,NA
21047,2024,21047,0,21047,NA,NA,NA
21047,2025,21047,0,21047,NA,NA,NA
21048,2015,21048,0,21048,NA,NA,NA
21048,2016,21048,0,21048,NA,NA,NA
21048,2017,21048,0,21048,NA,NA,NA
21048,2018,21048,0,21048,NA,NA,NA
21048,2019,21048,0,21048,NA,NA,NA
21048,2020,21048,0,21048,NA,NA,NA
21048,2021,21048,0,21048,NA,NA,NA
21048,2022,21048,0,21048,NA,NA,NA
21048,2023,21048,0,21048,NA,NA,NA
21048,2024,21048,0,21048,NA,NA,NA
21048,2025,21048,0,21048,NA,NA,NA
21049,2015,21049,0,21049,NA,NA,NA
21049,2016,21049,0,21049,NA,NA,NA
21049,2017,21049,0,21049,NA,NA,NA
21049,2018,21049,0,21049,NA,NA,NA
21049,2019,21049,0,21049,NA,NA,NA
21049,2020,21049,0,21049,NA,NA,NA
21049,2021,21049,1,21049,NA,NA,NA
21049,2022,21049,0,21049,NA,NA,NA
21049,2023,21049,0,21049,NA,NA,NA
21049,2024,21049,0,21049,NA,NA,NA
21049,2025,21049,0,21049,NA,NA,NA
21050,2015,21050,0,21050,NA,NA,NA
21050,2016,21050,0,21050,NA,NA,NA
21050,2017,21050,0,21050,NA,NA,NA
21050,2018,21050,0,21050,NA,NA,NA
21050,2019,21050,0,21050,NA,NA,NA
21050,2020,21050,0,21050,NA,NA,NA
21050,2021,21050,0,21050,NA,NA,NA
21050,2022,21050,1,21050,NA,NA,NA
21050,2023,21050,0,21050,NA,NA,NA
21050,2024,21050,0,21050,NA,NA,NA
21050,2025,21050,0,21050,NA,NA,NA
21051,2015,21051,0,21051,NA,NA,NA
21051,2016,21051,0,21051,NA,NA,NA
21051,2017,21051,1,21051,NA,NA,NA
21051,2018,21051,0,21051,NA,NA,NA
21051,2019,21051,0,21051,NA,NA,NA
21051,2020,21051,4,21051,NA,NA,NA
21051,2021,21051,0,21051,NA,NA,NA
21051,2022,21051,0,21051,NA,NA,NA
21051,2023,21051,1,21051,NA,NA,NA
21051,2024,21051,0,21051,NA,NA,NA
21051,2025,21051,0,21051,NA,NA,NA
21052,2015,21052,0,21052,NA,NA,NA
21052,2016,21052,0,21052,NA,NA,NA
21052,2017,21052,0,21052,NA,NA,NA
21052,2018,21052,0,21052,NA,NA,NA
21052,2019,21052,0,21052,NA,NA,NA
21052,2020,21052,0,21052,NA,NA,NA
21052,2021,21052,0,21052,NA,NA,NA
21052,2022,21052,0,21052,NA,NA,NA
21052,2023,21052,0,21052,NA,NA,NA
21052,2024,21052,0,21052,NA,NA,NA
21052,2025,21052,0,21052,NA,NA,NA
21053,2015,21053,0,21053,NA,NA,NA
21053,2016,21053,0,21053,NA,NA,NA
21053,2017,21053,0,21053,NA,NA,NA
21053,2018,21053,0,21053,NA,NA,NA
21053,2019,21053,1,21053,NA,NA,NA
21053,2020,21053,0,21053,NA,NA,NA
21053,2021,21053,0,21053,NA,NA,NA
21053,2022,21053,0,21053,NA,NA,NA
21053,2023,21053,0,21053,NA,NA,NA
21053,2024,21053,3,21053,NA,NA,NA
21053,2025,21053,0,21053,NA,NA,NA
21054,2015,21054,0,21054,NA,NA,NA
21054,2016,21054,0,21054,NA,NA,NA
21054,2017,21054,0,21054,NA,NA,NA
21054,2018,21054,0,21054,NA,NA,NA
21054,2019,21054,0,21054,NA,NA,NA
21054,2020,21054,0,21054,NA,NA,NA
21054,2021,21054,0,21054,NA,NA,NA
21054,2022,21054,0,21054,NA,NA,NA
21054,2023,21054,0,21054,NA,NA,NA
21054,2024,21054,2,21054,NA,NA,NA
21054,2025,21054,0,21054,NA,NA,NA
21055,2015,21055,0,21055,NA,NA,NA
21055,2016,21055,0,21055,NA,NA,NA
21055,2017,21055,0,21055,NA,NA,NA
21055,2018,21055,0,21055,NA,NA,NA
21055,2019,21055,0,21055,NA,NA,NA
