municipio,cve_mun,anio,feminicidios,estado
21070,21070,2020,0,Puebla
21070,21070,2021,0,Puebla
21070,21070,2022,0,Puebla
21070,21070,2023,0,Puebla
21070,21070,2024,0,Puebla
21070,21070,2025,0,Puebla
21071,21071,2015,0,Puebla
21071,21071,2016,0,Puebla
21071,21071,2017,0,Puebla
21071,21071,2018,0,Puebla
21071,21071,2019,2,Puebla
21071,21071,2020,0,Puebla
21071,21071,2021,0,Puebla
21071,21071,2022,2,Puebla
21071,21071,2023,0,Puebla
21071,21071,2024,0,Puebla
21071,21071,2025,0,Puebla
21072,21072,2015,0,Puebla
21072,21072,2016,0,Puebla
21072,21072,2017,0,Puebla
21072,21072,2018,0,Puebla
21072,21072,2019,0,Puebla
21072,21072,2020,1,Puebla
21072,21072,2021,0,Puebla
21072,21072,2022,0,Puebla
21072,21072,2023,0,Puebla
21072,21072,2024,0,Puebla
21072,21072,2025,1,Puebla
21073,21073,2015,0,Puebla
21073,21073,2016,0,Puebla
21073,21073,2017,0,Puebla
21073,21073,2018,0,Puebla
21073,21073,2019,0,Puebla
21073,21073,2020,0,Puebla
21073,21073,2021,0,Puebla
21073,21073,2022,0,Puebla
21073,21073,2023,0,Puebla
21073,21073,2024,0,Puebla
21073,21073,2025,0,Puebla
21074,21074,2015,0,Puebla
21074,21074,2016,0,Puebla
21074,21074,2017,1,Puebla
21074,21074,2018,1,Puebla
21074,21074,2019,1,Puebla
21074,21074,2020,1,Puebla
21074,21074,2021,0,Puebla
21074,21074,2022,0,Puebla
21074,21074,2023,1,Puebla
21074,21074,2024,1,Puebla
21074,21074,2025,0,Puebla
21075,21075,2015,0,Puebla
21075,21075,2016,0,Puebla
21075,21075,2017,0,Puebla
21075,21075,2018,0,Puebla
21075,21075,2019,0,Puebla
21075,21075,2020,0,Puebla
21075,21075,2021,0,Puebla
21075,21075,2022,0,Puebla
21075,21075,2023,0,Puebla
21075,21075,2024,0,Puebla
21075,21075,2025,0,Puebla
21076,21076,2015,0,Puebla
21076,21076,2016,0,Puebla
21076,21076,2017,0,Puebla
21076,21076,2018,0,Puebla
21076,21076,2019,0,Puebla
21076,21076,2020,0,Puebla
21076,21076,2021,2,Puebla
21076,21076,2022,0,Puebla
21076,21076,2023,1,Puebla
21076,21076,2024,0,Puebla
21076,21076,2025,0,Puebla
21077,21077,2015,0,Puebla
21077,21077,2016,0,Puebla
21077,21077,2017,0,Puebla
21077,21077,2018,0,Puebla
21077,21077,2019,0,Puebla
21077,21077,2020,0,Puebla
21077,21077,2021,0,Puebla
21077,21077,2022,0,Puebla
21077,21077,2023,0,Puebla
21077,21077,2024,0,Puebla
21077,21077,2025,0,Puebla
21078,21078,2015,0,Puebla
21078,21078,2016,0,Puebla
21078,21078,2017,0,Puebla
21078,21078,2018,0,Puebla
21078,21078,2019,1,Puebla
21078,21078,2020,0,Puebla
21078,21078,2021,0,Puebla
21078,21078,2022,0,Puebla
21078,21078,2023,0,Puebla
21078,21078,2024,0,Puebla
21078,21078,2025,0,Puebla
21079,21079,2015,0,Puebla
21079,21079,2016,0,Puebla
21079,21079,2017,0,Puebla
21079,21079,2018,0,Puebla
21079,21079,2019,0,Puebla
21079,21079,2020,0,Puebla
21079,21079,2021,0,Puebla
21079,21079,2022,0,Puebla
21079,21079,2023,0,Puebla
21079,21079,2024,0,Puebla
21079,21079,2025,0,Puebla
