municipio,cve_mun,estado,anio,feminicidios,municipio_texto,mun_id_nombre
Ayotoxco De Guerrero,21025,Puebla,2020,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2021,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2022,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2023,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2024,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Ayotoxco De Guerrero,21025,Puebla,2025,0,Ayotoxco De Guerrero,21025 – Ayotoxco De Guerrero
Calpan,21026,Puebla,2015,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2016,1,Calpan,21026 – Calpan
Calpan,21026,Puebla,2017,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2018,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2019,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2020,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2021,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2022,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2023,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2024,0,Calpan,21026 – Calpan
Calpan,21026,Puebla,2025,0,Calpan,21026 – Calpan
Caltepec,21027,Puebla,2015,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2016,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2017,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2018,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2019,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2020,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2021,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2022,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2023,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2024,0,Caltepec,21027 – Caltepec
Caltepec,21027,Puebla,2025,0,Caltepec,21027 – Caltepec
Camocuautla,21028,Puebla,2015,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2016,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2017,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2018,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2019,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2020,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2021,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2022,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2023,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2024,0,Camocuautla,21028 – Camocuautla
Camocuautla,21028,Puebla,2025,0,Camocuautla,21028 – Camocuautla
Caxhuacan,21029,Puebla,2015,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2016,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2017,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2018,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2019,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2020,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2021,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2022,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2023,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2024,0,Caxhuacan,21029 – Caxhuacan
Caxhuacan,21029,Puebla,2025,0,Caxhuacan,21029 – Caxhuacan
Coatepec,21030,Puebla,2015,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2016,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2017,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2018,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2019,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2020,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2021,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2022,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2023,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2024,0,Coatepec,21030 – Coatepec
Coatepec,21030,Puebla,2025,0,Coatepec,21030 – Coatepec
Coatzingo,21031,Puebla,2015,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2016,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2017,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2018,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2019,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2020,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2021,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2022,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2023,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2024,0,Coatzingo,21031 – Coatzingo
Coatzingo,21031,Puebla,2025,0,Coatzingo,21031 – Coatzingo
Cohetzala,21032,Puebla,2015,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2016,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2017,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2018,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2019,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2020,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2021,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2022,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2023,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2024,0,Cohetzala,21032 – Cohetzala
Cohetzala,21032,Puebla,2025,0,Cohetzala,21032 – Cohetzala
Cohuecan,21033,Puebla,2015,0,Cohuecan,21033 – Cohuecan
Cohuecan,21033,Puebla,2016,0,Cohuecan,21033 – Cohuecan
Cohuecan,21033,Puebla,2017,0,Cohuecan,21033 – Cohuecan
Cohuecan,21033,Puebla,2018,0,Cohuecan,21033 – Cohuecan
Cohuecan,21033,Puebla,2019,0,Cohuecan,21033 – Cohuecan
Cohuecan,21033,Puebla,2020,0,Cohuecan,21033 – Cohuecan
Cohuecan,21033,Puebla,2021,0,Cohuecan,21033 – Cohuecan
Cohuecan,21033,Puebla,2022,0,Cohuecan,21033 – Cohuecan
Cohuecan,21033,Puebla,2023,0,Cohuecan,21033 – Cohuecan
